restaurant,menu_name,menu_category,weight_g,price_krw,calorie_kcal,protein_g,sugar_g,saturated_fat_g,sodium_mg,caffeine_mg,nutrition_basis,total_weight_g
파파존스,스파이시 이탈리안(P 스파이시 갈릭 치즈롤),피자,154,,445,20,5,10,1008,,,
파파존스,스파이시 이탈리안(P 체다치즈롤),피자,152,,427,19,5,9,1059,,,
파파존스,식스 치즈(L 오리지널),피자,160,,436,19,8,6,980,,,
파파존스,식스 치즈(L 골드링),피자,187,,541,26,13,9,1093,,,
파파존스,식스 치즈(L 치즈롤),피자,106,,299,15,4,6,686,,,
파파존스,식스 치즈(L 크루아상),피자,141,,459,18,5,10,848,,,
파파존스,식스 치즈(L 스파이시 갈릭 치즈롤),피자,105,,301,15,4,6,654,,,
파파존스,식스 치즈(L 체다치즈롤),피자,183,,509,25,7,10,1214,,,
파파존스,식스 치즈(F 오리지널),피자,108,,293,13,5,4,659,,,
파파존스,식스 치즈(F 골드링),피자,140,,404,20,10,7,817,,,
파파존스,식스 치즈(F 치즈롤),피자,141,,397,20,5,8,913,,,
파파존스,식스 치즈(F 씬),피자,106,,323,14,2,6,637,,,
파파존스,식스 치즈(F 골드링씬),피자,138,,417,18,7,9,740,,,
파파존스,식스 치즈(F 스파이시 갈릭 치즈롤),피자,137,,395,19,5,8,860,,,
파파존스,식스 치즈(F 체다치즈롤),피자,127,,352,17,5,7,840,,,
파파존스,식스 치즈(P 오리지널),피자,110,,298,13,5,4,670,,,
파파존스,식스 치즈(P 골드링),피자,151,,437,21,11,7,883,,,
파파존스,식스 치즈(P 치즈롤),피자,142,,400,20,5,8,920,,,
파파존스,식스 치즈(P 스파이시 갈릭 치즈롤),피자,138,,395,19,5,8,861,,,
파파존스,식스 치즈(P 체다치즈롤),피자,136,,379,19,5,8,905,,,
파파존스,프리미엄 직화불고기(L 오리지널),피자,169,,445,19,8,7,828,,,
파파존스,프리미엄 직화불고기(L 골드링),피자,101,,281,13,7,5,471,,,
파파존스,프리미엄 직화불고기(L 치즈롤),피자,193,,524,25,6,11,998,,,
파파존스,프리미엄 직화불고기(L 크루아상),피자,149,,468,17,5,11,716,,,
파파존스,프리미엄 직화불고기(L 스파이시 갈릭 치즈롤),피자,192,,534,26,7,11,963,,,
파파존스,프리미엄 직화불고기(L 체다치즈롤),피자,193,,519,25,7,11,1026,,,
파파존스,프리미엄 직화불고기(F 오리지널),피자,117,,308,13,5,5,573,,,
파파존스,프리미엄 직화불고기(F 골드링),피자,140,,389,18,9,7,651,,,
파파존스,프리미엄 직화불고기(F 치즈롤),피자,134,,363,18,4,7,691,,,
파파존스,프리미엄 직화불고기(F 씬),피자,168,,492,21,3,10,805,,,
