restaurant,menu_name,menu_category,weight_g,price_krw,calorie_kcal,protein_g,sugar_g,saturated_fat_g,sodium_mg,caffeine_mg,nutrition_basis
파리바게뜨,트러플오일 버섯크림 파스타,,340,,435,13,5,12,1020,,
파리바게뜨,트러플오일 까르보나라,,320,,580,23,7,16,960,,
파리바게뜨,쉬림프 투움바 파스타,,325,,465,15,5,10,1520,,
파리바게뜨,바질 리코타 토마토 파스타,,335,,430,13,9,5,1260,,
파리바게뜨,쉬림프 비스큐 리조또,,350,,520,13,7,10,1550,,
파리바게뜨,치즈듬뿍 볼로네제 파스타,,385,,545,25,12,12,1350,,
파리바게뜨,치즈듬뿍 치킨로제 도리아,,325,,555,22,9,13,1740,,
파리바게뜨,저당 할라피뇨&랜치 드레싱,,40,,90,0.3,0.8,1.2,340,,
파리바게뜨,저당 애플&키위 드레싱,,40,,10,0,1,0,180,,
파리바게뜨,딸기 그래놀라 리코타샐러드,,155,,170,5,9,3.7,70,,
파리바게뜨,샐러드빵,,155,,317,8,6,3.1,510,,
파리바게뜨,몬테크리스토샌드위치,,130,,350,11,11,4.9,740,,
파리바게뜨,야채샐러드롤,,205,,515,12,18,6,770,,
파리바게뜨,어니언 크로크무슈,,105,,235,9,3,4.7,520,,
파리바게뜨,제주 천혜향 파운드 케익,,415,,375,5,24,10,120,,
파리바게뜨,곰곰이 베리 하트해,,120,,695,8,37,27,110,,
파리바게뜨,크랜베리 사브레,,85,,445,5,13,16,100,,
파리바게뜨,바삭한 우리찹쌀 모나카,,372,,1156,12,196,0,220,,
파리바게뜨,양갱미감,,624,,1920,16,364,0.4,400,,
파리바게뜨,쇼콜라 사브레,,85,,450,6,18,15,120,,
파리바게뜨,바닐라 사브레,,85,,445,5,18,14,150,,
파리바게뜨,초코초코 롤리초코,,20,,116,1,10,4.7,10,,
파리바게뜨,통통하트 롤리팝,,20,,101,1,11,3.9,13,,
파리바게뜨,생강레몬 캔디,,72,,285,0,55,0,0,,
파리바게뜨,배도라지 캔디,,72,,285,0,59,0,0,,
파리바게뜨,티라미수 젤라또바,,65,,110,2,15,2.9,30,,
파리바게뜨,LA우피파이,,23,,90,2,9,1,60,,
파리바게뜨,두쫀 타르트,,61,,295,4,13,6,80,,
파리바게뜨,카우엣 피넛버터 크리미,,350,,2065,23,6,6,280,,
파리바게뜨,카우엣 피넛버터 크런치,,350,,1995,24,4,6,8,,
파리바게뜨,아몬드 스프레드,,200,,635,24,2,3.9,0,,
파리바게뜨,저당 그래놀라,,30,,160,4,1,2.8,32,,
파리바게뜨,두부크런치 오트 현미,,40,,185,4,6,2.8,75,,
파리바게뜨,두부크런치 아몬드 피칸,,40,,225,6,6,2.6,55,,
파리바게뜨,온브레드 크림치즈(갈릭),,80,,233,5,3,14,320,,
파리바게뜨,온브레드 크림치즈 딸기(미니),,28,,92,2,2,4.9,110,,
파리바게뜨,슈크림슈,,20,,60,1,2,0.7,15,,
파리바게뜨,체리 젤라또,,65,,110,2,18,1.5,15,,
파리바게뜨,말차 젤라또,,,,95,2,13,0.3,0,,
파리바게뜨,시칠리아 레몬 에이드,,460,,190,0,13,0,5,,
파리바게뜨,우베컵빙수,,455,,545,11,62,3,280,,
파리바게뜨,우베라떼,,480,,285,8,25,6,140,,
파리바게뜨,우베카페라떼,,350,,235,6,16,9,90,,
파리바게뜨,우베코코넛워터,,341,,195,1,14,8,55,,
파리바게뜨,인절미 컵빙수,,455,,,13,62,2.9,270,,
파리바게뜨,비타톤 포도맛,,100,,75,0,18,0,0,,
파리바게뜨,비타톤 사과맛,,100,,75,0,17,0,0,,
파리바게뜨,카페 아다지오 크림라떼,,250,,179,5,23,4.7,70,,
파리바게뜨,수박주스,,480,,,1,30,0,10,,
파리바게뜨,제주감귤주스,,480,,130,2,29,0,10,,
파리바게뜨,제주감귤크러시,,460,,220,2,56,0,10,,
파리바게뜨,생생 제주 유기농 감귤,,,,55,1.0,10,0,0,,
파리바게뜨,아이스초코포레누아,,483,,300,10,28,7,130,,
파리바게뜨,핫초코포레누아,,253,,280,9,27,6,110,,
파리바게뜨,데일리주스포도,,,,130,1,31,0,5,,
파리바게뜨,제주 청귤 에이드,,470,,200,0,45,0,5,,
파리바게뜨,11곡 미숫가루 프로틴 쉐이크,,40,,175,14,6,0.6,150,,
파리바게뜨,쏘유두유플레인,,,,120,6,9,2.9,115,,
파리바게뜨,치키 피치티,,,,145,0,31,0,25,,
파리바게뜨,우유 팥빙수,,545,,640,10,101,4,210,,
파리바게뜨,복숭아 아이스티,,450,,130,0,33,0,5,,
파리바게뜨,(ICE) 바닐라라떼,,350,,200,5,30,3.5,80,,
파리바게뜨,디카페인 빅아이스아메리카노,,600,,18,0.8,0,0.2,11,,
파리바게뜨,단호박 스프,,180,,165,2,10,6,330,,
파리바게뜨,빠삭 꿔바로우,,450,,915,37,41,6,1290,,
파리바게뜨,중화풍 잡채볶음밥,,,,320,7,6,1.4,1200,,
파리바게뜨,베이컨스크램블드에그베이글,,,,455,13,9,7,1210,,
파리바게뜨,대파듬뿍크림치즈베이글샌드,,,,355,9,8,7,690,,
파리바게뜨,중화 울면,,180,,350,14,9,0.8,2260,,
파리바게뜨,리코타 토마토 파스타,,335,,535,12,10,6,1010,,
파리바게뜨,더블 페퍼로니 피자,,235,,690,30,8,12,1390,,
파리바게뜨,마르게리타 피자,,235,,664,26,9,10,1115,,
파리바게뜨,미트볼&트러플오일 까르보나라,,365,,645,17,5,14,1140,,
파리바게뜨,트러플오일&버섯크림 파스타,,340,,560,14,5,14,880,,
파리바게뜨,애플망고 POP빙수,,555,,560,6,88,5,100,,
파리바게뜨,아이스 말차 라떼,,470,,170,8,13,6,130,,
파리바게뜨,레피시에 블루베리잼,,280,,248,0,45,0,10,,
파리바게뜨,쏘유두유검은콩,,,,134,6,10,1,160,,
파리바게뜨,제로 자몽허니 아이스티,,450,,0,0,0,0,5,,
파리바게뜨,비다 오리지날 시트러스향,,325,,0,0,0,0,9,,
파리바게뜨,비다 민티 라임향,,325,,0,0,0,0,8,,
파리바게뜨,고구마양갱,,52,,165,1,33,0,45,,
파리바게뜨,밤양갱,,52,,155,1,27,0.1,20,,
파리바게뜨,팥양갱,,52,,160,2,31,0,35,,
파리바게뜨,[파란라벨]잠봉치즈 머쉬룸 멀티그레인,,170,,380,18,3,5,610,,
